group_id,Player,careers,Pos,Tm,G,PER,GS,MP,TS,OWS,DWS,WS,BPM,FG,P2,P3
50,Alex Poythress,1,PF,PHI,6.0,13.2,1.0,157.0,0.5,0.2,0.1,0.3,-2.5,0.5,0.5,0.3
51,Alex Stivrins,3,PF,ATL,34.0,15.6,0.0,126.0,0.5,-0.0,0.0,0.0,-9.1,0.5,0.6,0.0
52,Alexander Volkov,2,C,ATL,149.0,13.7,31.0,2453.0,0.5,1.3,0.9,2.2,0.2,0.5,0.5,0.4
53,Alexey Shved,6,SG,NYK,224.0,15.1,34.0,4038.0,0.5,0.4,0.5,0.9,-1.9,0.4,0.4,0.3
54,Alexis Ajinca,7,C,NOP,253.0,12.2,70.0,3258.0,0.5,0.2,0.5,0.7,-4.0,0.5,0.5,0.2
55,Alfredrick Hughes,1,SG,SAS,68.0,8.2,0.0,866.0,0.4,-1.0,0.5,-0.5,-6.5,0.4,0.4,0.2
56,Allan Bristow,2,SF,DAL,119.0,11.4,54.0,2406.0,0.5,0.8,0.6,1.4,-2.0,0.4,0.4,0.3
57,Allan Houston,12,SG,NYK,839.0,14.4,727.0,28311.0,0.5,2.9,1.7,4.6,-1.1,0.4,0.5,0.4
58,Allan Ray,1,SG,BOS,47.0,10.0,5.0,710.0,0.5,0.1,0.5,0.6,-3.5,0.4,0.4,0.4
59,Allen Crabbe,4,SG,POR,226.0,10.0,24.0,5142.0,0.5,1.7,0.8,2.4,-1.7,0.4,0.4,0.4
60,Allen Iverson*,20,SG,PHI,1064.0,19.4,1042.0,43303.0,0.5,3.3,2.1,5.4,1.0,0.4,0.5,0.3
61,Allen Leavell,8,SG,HOU,544.0,13.6,244.0,12439.0,0.5,1.6,1.4,3.0,-2.1,0.4,0.5,0.2
62,Alonzo Gee,12,SF,DEN,522.0,10.7,249.0,10833.0,0.5,0.4,0.6,1.0,-2.0,0.4,0.5,0.3
63,Alonzo Mourning*,10,C,MIA,629.0,22.0,570.0,21158.0,0.6,3.6,4.0,7.6,2.1,0.5,0.5,0.1
64,Alphonso Ford,2,SG,PHI,11.0,14.6,0.0,114.0,0.4,-0.2,0.0,-0.2,-6.7,0.4,0.4,0.5
65,Alton Lister,7,C,MIL,459.0,12.7,326.0,10371.0,0.5,0.8,2.3,3.1,-0.4,0.5,0.5,0.1
66,Alvan Adams,6,C,PHO,457.0,15.8,273.0,11633.0,0.5,1.5,2.8,4.3,2.0,0.5,0.5,0.1
