Unnamed: 0,Year,Player,Pos,Tm,G,GS,MP,PER,TS%,OWS,DWS,WS,BPM,FG%,3P%,2P%
6514,1982,Charlie Criss,PG,TOT,55,20,1392,13.3,0.524,1.6,0.4,2.1,-3.0,0.446,0.345,0.452
6515,1982,Charlie Criss,PG,ATL,27,0,552,13.6,0.485,0.4,0.6,1.0,-2.5,0.4,0.25,0.406
6516,1982,Charlie Criss,PG,SDC,28,20,840,13.1,0.552,1.2,-0.2,1.1,-3.4,0.479,0.381,0.487
6518,1982,Pat Cummings,PF,MIL,78,7,1132,11.1,0.537,0.1,1.7,1.8,-3.3,0.509,0.0,0.512
6519,1982,Earl Cureton,PF,PHI,66,8,956,12.8,0.502,0.6,1.5,2.1,-2.4,0.487,0.0,0.49
6521,1982,Adrian Dantley*,SF,UTA,81,81,3222,24.2,0.631,11.9,0.7,12.6,4.6,0.57,0.333,0.57
6522,1982,Brad Davis,PG,DAL,82,82,2614,14.5,0.569,4.4,1.0,5.4,-0.8,0.515,0.286,0.53
6523,1982,Charles Davis,SF,WSB,54,10,575,10.7,0.514,0.0,0.8,0.9,-2.3,0.478,0.0,0.484
6524,1982,Johnny Davis,SG,IND,82,70,2664,15.2,0.526,3.0,2.1,5.1,-1.2,0.467,0.185,0.473
6526,1982,Walter Davis,SF,PHO,55,12,1182,18.3,0.553,1.2,1.4,2.7,-1.2,0.523,0.188,0.531
6527,1982,Darryl Dawkins,C,PHI,48,36,1124,15.0,0.601,1.1,1.8,2.9,-0.9,0.564,0.0,0.567
6528,1982,Larry Demic,PF,NYK,48,0,356,5.7,0.459,-0.4,0.2,-0.1,-6.6,0.47,0.0,0.476
6530,1982,Coby Dietrick,C,CHI,74,0,999,10.8,0.496,0.5,1.1,1.7,0.3,0.46,0.0,0.462
6531,1982,Mickey Dillard,PG,CLE,33,0,221,7.0,0.41,-0.3,0.0,-0.2,-7.4,0.367,0.0,0.387
6533,1982,John Douglas,SG,SDC,64,9,1031,12.1,0.515,0.3,0.2,0.5,-3.3,0.465,0.305,0.494
6535,1982,John Drew,SF,ATL,70,51,2040,18.1,0.553,3.2,2.4,5.5,-0.1,0.486,0.333,0.488
6536,1982,Larry Drew,PG,KCK,81,19,1973,15.3,0.52,1.3,1.7,3.0,-1.4,0.473,0.296,0.479
6537,1982,Terry Duerod,SG,BOS,21,0,146,12.5,0.438,0.1,0.1,0.2,-4.8,0.442,0.0,0.447
6538,1982,Mike Dunleavy,SG,HOU,70,15,1315,13.2,0.524,1.8,0.7,2.6,-1.8,0.458,0.384,0.475
6539,1982,T.R. Dunn,SG,DEN,82,80,2519,12.1,0.559,2.9,1.1,4.0,2.3,0.512,0.0,0.513
6540,1982,John Duren,PG,UTA,79,9,1056,7.0,0.478,-0.3,0.0,-0.3,-6.5,0.451,0.273,0.459
6541,1982,Craig Dykema,SF,PHO,32,0,103,11.1,0.525,0.1,0.1,0.2,-4.6,0.459,0.5,0.455
6542,1982,Franklin Edwards,PG,PHI,42,3,291,13.7,0.463,-0.1,0.4,0.2,-3.7,0.433,0.0,0.461
6543,1982,James Edwards,C,CLE,77,75,2539,15.8,0.545,3.0,1.3,4.3,-0.6,0.511,0.0,0.513
6545,1982,Alex English*,SF,DEN,82,82,3015,22.2,0.596,8.9,0.6,9.5,4.1,0.551,0.0,0.553
6546,1982,Julius Erving*,SF,PHI,81,81,2789,25.9,0.593,8.7,4.6,13.3,7.8,0.546,0.273,0.548
6547,1982,Mike Evans,PG,TOT,22,0,270,7.3,0.438,-0.4,0.3,-0.1,-5.5,0.407,0.0,0.438
6548,1982,Mike Evans,PG,MIL,14,0,196,7.2,0.498,-0.1,0.2,0.2,-4.8,0.471,0.0,0.49
6549,1982,Mike Evans,PG,CLE,8,0,74,7.5,0.35,-0.3,0.0,-0.2,-7.2,0.314,0.0,0.355
6551,1982,Chris Ford,SG,BOS,76,53,1591,7.8,0.458,0.7,1.4,2.1,-2.1,0.418,0.317,0.434
6552,1982,Don Ford,SF,CLE,21,1,201,3.7,0.432,-0.2,0.1,-0.1,-4.4,0.375,0.0,0.391
6553,1982,Phil Ford,PG,KCK,72,65,1952,11.4,0.494,-0.2,1.1,0.9,-4.9,0.439,0.219,0.451
6554,1982,World B.,SG,GSW,78,78,2796,18.2,0.515,5.6,1.3,6.9,0.1,0.448,0.179,0.458
6555,1982,Mike Gale,PG,GSW,75,70,1793,10.9,0.524,0.3,2.1,2.4,0.5,0.496,0.0,0.503
6556,1982,Calvin Garrett,SF,HOU,51,22,858,8.4,0.454,0.0,0.6,0.6,-2.8,0.434,0.3,0.44
6557,1982,George Gervin*,SG,SAS,79,79,2817,24.2,0.562,8.7,2.0,10.7,1.7,0.5,0.278,0.504
6558,1982,Artis Gilmore*,C,CHI,82,82,2796,22.4,0.702,8.3,3.8,12.1,4.5,0.652,1.0,0.652
6559,1982,Mike Glenn,SG,ATL,49,0,833,16.0,0.587,2.0,0.8,2.8,-0.5,0.543,0.5,0.543
6561,1982,Glen Gondrezick,SF,DEN,80,0,1699,14.9,0.559,2.6,1.0,3.6,1.4,0.505,0.0,0.508
6562,1982,Rickey Green,PG,UTA,81,73,2822,17.4,0.531,4.3,1.4,5.7,0.8,0.493,0.0,0.497
6563,1982,Dave Greenwood,PF,CHI,82,82,2914,15.5,0.525,3.2,3.2,6.5,1.4,0.473,0.0,0.475
6564,1982,Kevin Grevey,SG,WSB,71,62,2164,11.7,0.502,1.2,2.4,3.6,-1.2,0.439,0.341,0.449
6566,1982,Darrell Griffith,SG,UTA,80,79,2597,15.8,0.511,1.4,0.7,2.1,-2.4,0.482,0.288,0.489
6567,1982,Bob Gross,SF,POR,59,24,1377,13.8,0.581,1.5,1.6,3.1,2.5,0.537,0.5,0.538
6568,1982,Ernie Grunfeld,SG,KCK,81,11,1892,17.2,0.558,2.8,1.5,4.3,0.4,0.511,0.143,0.517
6569,1982,Petur Gudmundsson,C,POR,68,6,845,7.9,0.549,-0.2,0.8,0.6,-3.2,0.5,1.0,0.497
6571,1982,Bill Hanzlik,SF,SEA,81,76,1974,9.6,0.543,1.3,2.9,4.1,0.6,0.468,0.0,0.473
6572,1982,Alan Hardy,SG,DET,38,0,310,10.5,0.477,0.0,0.2,0.2,-5.6,0.456,0.0,0.473
6573,1982,James Hardy,SF,UTA,82,17,1814,11.4,0.515,1.2,1.3,2.5,-0.3,0.485,0.0,0.486
6574,1982,Mike Harper,PF,POR,68,38,1433,12.2,0.531,0.6,1.8,2.4,-0.4,0.497,0.0,0.499
6575,1982,Joe Hassett,SG,GSW,68,2,787,13.4,0.49,1.1,0.5,1.6,-1.3,0.377,0.332,0.435
6576,1982,Steve Hawes,PF,ATL,49,42,1317,14.5,0.536,1.2,2.1,3.2,2.2,0.481,0.4,0.483
6577,1982,Elvin Hayes*,PF,HOU,82,82,3032,14.4,0.513,2.3,2.9,5.1,-0.2,0.472,0.0,0.474
6581,1982,Spencer Haywood*,PF,WSB,76,63,2086,13.2,0.535,0.4,3.2,3.6,-1.9,0.476,0.0,0.478
6582,1982,Gerald Henderson,PG,BOS,82,31,1844,13.2,0.534,1.4,2.2,3.6,-0.9,0.501,0.167,0.506
6583,1982,Tom Henderson,SG,HOU,75,23,1721,11.0,0.502,1.2,0.9,2.1,-2.9,0.454,0.0,0.456
6584,1982,Keith Herron,SG,CLE,30,0,269,6.8,0.388,-0.3,0.0,-0.3,-7.3,0.368,0.0,0.371
6585,1982,Kenny Higgs,PG,DEN,76,49,1696,10.8,0.513,0.9,0.1,1.0,-4.0,0.432,0.19,0.443
6586,1982,Armond Hill,PG,TOT,40,18,723,5.5,0.483,-0.6,0.2,-0.4,-5.9,0.421,0.0,0.427
6588,1982,Armond Hill,PG,SDC,19,14,480,4.6,0.437,-0.7,0.0,-0.8,-7.3,0.382,0.0,0.391
6589,1982,Brad Holland,SG,TOT,14,3,194,6.8,0.353,-0.4,0.3,-0.1,-5.3,0.346,0.0,0.36
6590,1982,Brad Holland,SG,WSB,13,3,185,8.2,0.381,-0.2,0.3,0.0,-3.8,0.37,0.0,0.386
6592,1982,Lionel Hollins,PG,PHI,81,81,2257,12.5,0.508,0.9,2.5,3.4,-1.4,0.477,0.125,0.484
6593,1982,Cedrick Hordges,PF,DEN,77,1,1372,10.4,0.525,0.3,0.5,0.7,-4.4,0.493,0.231,0.501
6594,1982,Phil Hubbard,SF,TOT,83,40,1839,13.4,0.535,0.9,1.7,2.6,-2.0,0.49,0.0,0.493
6595,1982,Phil Hubbard,SF,DET,52,38,1104,13.5,0.54,0.6,1.2,1.8,-1.4,0.505,0.0,0.509
6596,1982,Phil Hubbard,SF,CLE,31,2,735,13.3,0.527,0.3,0.5,0.8,-2.9,0.467,0.0,0.469
6597,1982,Geoff Huston,PG,CLE,78,43,2409,14.0,0.53,2.9,0.1,3.0,-3.1,0.484,0.3,0.486
6598,1982,Dan Issel*,C,DEN,81,81,2472,23.1,0.608,9.0,0.8,9.8,1.3,0.527,0.667,0.526
6604,1982,Dennis Johnson*,SG,PHO,80,77,2937,16.7,0.54,4.1,4.0,8.1,1.7,0.47,0.19,0.48
6605,1982,Eddie Johnson,SG,ATL,68,57,2314,16.5,0.513,2.2,2.6,4.8,0.9,0.45,0.233,0.457
6606,1982,Eddie Johnson,SF,KCK,74,27,1517,13.1,0.487,0.3,1.4,1.8,-1.6,0.459,0.091,0.465
6607,1982,Frank Johnson,PG,WSB,79,29,2027,12.0,0.467,-0.5,2.5,2.1,-2.3,0.414,0.215,0.435
6609,1982,George Johnson,PF,IND,59,4,720,12.3,0.46,-0.8,1.4,0.6,-3.2,0.412,0.0,0.415
6611,1982,Magic Johnson*,SG,LAL,78,77,2991,22.9,0.59,8.1,4.8,12.9,8.3,0.537,0.207,0.546
6612,1982,Marques Johnson,SF,MIL,60,52,1900,18.0,0.566,3.5,2.7,6.2,2.9,0.532,0.0,0.534
6613,1982,Mickey Johnson,PF,MIL,76,71,1934,16.4,0.553,2.1,3.4,5.5,1.3,0.491,0.143,0.495
6614,1982,Ollie Johnson,SF,PHI,26,0,150,12.4,0.534,0.0,0.3,0.2,-0.8,0.5,0.333,0.51
6615,1982,Reggie Johnson,PF,TOT,75,48,1904,14.2,0.561,2.3,1.6,3.9,-1.3,0.53,0.0,0.531
6618,1982,Reggie Johnson,PF,KCK,31,9,783,15.7,0.581,0.9,0.9,1.8,-0.5,0.556,0.0,0.558
6620,1982,Vinnie Johnson,SG,TOT,74,15,1295,14.5,0.537,1.5,1.2,2.7,-0.2,0.489,0.25,0.495
6621,1982,Vinnie Johnson,SG,SEA,7,0,104,12.0,0.495,0.1,0.2,0.2,0.4,0.409,0.0,0.429
6622,1982,Vinnie Johnson,SG,DET,67,15,1191,14.7,0.539,1.4,1.0,2.4,-0.2,0.493,0.273,0.499
6623,1982,Bobby Jones,PF,PHI,76,73,2181,19.3,0.62,4.8,3.4,8.2,4.2,0.564,0.0,0.567
6624,1982,Caldwell Jones,C,PHI,81,47,2446,11.3,0.571,1.1,4.1,5.2,0.2,0.497,0.0,0.5
6625,1982,Dwight Jones,PF,CHI,78,18,2040,13.4,0.576,1.8,1.9,3.6,-0.7,0.53,1.0,0.529
6626,1982,Edgar Jones,PF,DET,48,19,802,17.5,0.594,1.1,1.3,2.4,1.8,0.548,0.5,0.549
6627,1982,Major Jones,PF,HOU,60,6,746,13.4,0.543,0.5,0.8,1.3,-1.9,0.531,0.0,0.538
6628,1982,Eddie Jordan,PG,LAL,58,0,608,12.2,0.479,-0.2,0.9,0.7,-3.2,0.428,0.111,0.442
6629,1982,Jeff Judkins,SF,DET,30,0,251,7.7,0.427,0.0,0.2,0.2,-4.8,0.383,0.1,0.423
6631,1982,Rich Kelley,C,PHO,81,39,1892,12.5,0.53,-0.9,3.4,2.5,0.5,0.467,0.0,0.468
6632,1982,Greg Kelser,SF,TOT,60,10,741,11.8,0.494,-0.3,1.1,0.8,-3.3,0.428,0.0,0.433
6633,1982,Greg Kelser,SF,DET,11,0,183,10.7,0.466,-0.2,0.2,0.0,-5.9,0.407,0.0,0.422
6636,1982,Albert King,SF,NJN,76,52,1694,13.5,0.517,-0.2,2.6,2.4,-1.4,0.482,0.231,0.486
6637,1982,Bernard King*,SF,GSW,79,77,2861,19.8,0.6,6.6,2.2,8.7,2.7,0.566,0.2,0.568
6639,1982,Billy Knight,SF,IND,81,19,1803,16.7,0.562,2.4,1.9,4.3,-0.6,0.495,0.281,0.504
6644,1982,Sam Lacey,C,TOT,56,7,670,7.4,0.473,-0.6,1.1,0.6,-2.4,0.435,0.0,0.438
6646,1982,Sam Lacey,C,NJN,54,6,650,7.2,0.471,-0.5,1.1,0.5,-2.5,0.43,0.0,0.432
6647,1982,Tom LaGarde,C,DAL,47,28,909,7.6,0.456,-1.2,0.7,-0.5,-5.7,0.42,0.0,0.423
6648,1982,Bill Laimbeer,C,TOT,80,34,1829,15.4,0.563,2.8,1.9,4.7,0.4,0.494,0.308,0.499
6649,1982,Bill Laimbeer,C,CLE,50,4,894,14.2,0.546,1.1,0.6,1.8,-0.5,0.47,0.5,0.47
6650,1982,Bill Laimbeer,C,DET,30,30,935,16.5,0.578,1.6,1.3,2.9,1.3,0.516,0.143,0.525
6651,1982,John Lambert,PF,TOT,63,7,764,8.2,0.48,-0.2,0.8,0.6,-3.6,0.437,0.143,0.447
6652,1982,John Lambert,PF,KCK,42,1,493,8.1,0.469,-0.4,0.6,0.1,-4.6,0.432,0.167,0.444
6653,1982,John Lambert,PF,SAS,21,6,271,8.3,0.507,0.2,0.2,0.4,-1.9,0.448,0.0,0.456
6654,1982,Jeff Lamp,SF,POR,54,0,617,9.8,0.561,0.3,0.3,0.6,-4.8,0.51,0.0,0.513
6655,1982,Mark Landsberger,PF,LAL,75,1,1134,10.3,0.449,0.5,1.2,1.7,-4.8,0.438,0.0,0.44
6656,1982,Bob Lanier*,C,MIL,74,72,1986,17.4,0.596,3.2,3.4,6.6,2.2,0.558,0.0,0.56
6657,1982,Allen Leavell,PG,HOU,79,61,2150,16.4,0.507,2.7,2.1,4.8,0.6,0.467,0.29,0.474
6659,1982,Ron Lee,PG,DET,81,7,1467,9.7,0.466,-0.3,2.0,1.6,-1.2,0.358,0.305,0.374
6660,1982,Ronnie Lester,PG,CHI,75,74,2252,13.8,0.565,2.6,1.3,3.9,-0.8,0.501,0.5,0.501
6663,1982,Scott Lloyd,PF,DAL,74,17,1047,5.9,0.441,-0.5,0.4,-0.1,-5.5,0.379,0.5,0.377
6664,1982,Kevin Loder,SF,KCK,71,13,1139,12.9,0.498,0.4,1.1,1.5,-1.9,0.464,0.0,0.476
6665,1982,John Long,SG,DET,69,66,2211,17.4,0.535,3.1,1.6,4.7,-1.4,0.492,0.133,0.496
6666,1982,John Lucas,PG,WSB,79,53,1940,15.2,0.479,1.1,2.7,3.9,-1.2,0.426,0.091,0.438
6667,1982,Maurice Lucas,PF,NYK,80,74,2671,17.9,0.547,4.1,3.2,7.4,1.2,0.504,0.0,0.506
6668,1982,Ollie Mack,SG,DAL,13,3,150,7.9,0.352,-0.1,0.1,-0.1,-6.0,0.322,0.0,0.333
6669,1982,Rudy Macklin,SF,ATL,79,32,1516,9.3,0.495,-0.4,1.8,1.4,-3.6,0.434,0.0,0.437
6670,1982,Kyle Macy,PG,PHO,82,72,2845,15.7,0.57,5.4,3.8,9.2,2.3,0.514,0.39,0.529
6671,1982,Rick Mahorn,PF,WSB,80,80,2664,13.3,0.531,0.8,5.1,5.9,1.3,0.507,0.0,0.509
6672,1982,Moses Malone*,C,HOU,81,81,3398,26.8,0.576,11.7,3.7,15.4,4.3,0.519,0.0,0.52
6673,1982,Wes Matthews,PG,ATL,47,5,837,12.6,0.487,0.2,1.1,1.3,-1.6,0.44,0.25,0.445
6674,1982,Cedric Maxwell,SF,BOS,78,73,2590,16.0,0.616,5.8,3.3,9.1,3.8,0.548,0.0,0.551
6675,1982,Scott May,SF,MIL,65,7,1187,16.7,0.581,2.4,1.8,4.2,1.3,0.508,0.0,0.513
6676,1982,Bob McAdoo*,C,LAL,41,0,746,14.4,0.509,0.5,1.0,1.5,-3.6,0.458,0.0,0.465
6679,1982,Jim McElroy,PG,ATL,20,17,349,9.3,0.476,0.0,0.3,0.3,-5.1,0.416,0.2,0.425
6680,1982,Mike McGee,SF,LAL,39,0,352,11.7,0.489,-0.1,0.3,0.2,-5.0,0.465,0.0,0.476
6681,1982,George McGinnis,PF,IND,76,4,1341,11.3,0.395,-2.5,2.9,0.4,-0.1,0.373,0.0,0.376
6683,1982,Kevin McKenna,SG,LAL,36,0,237,2.8,0.355,-0.5,0.2,-0.3,-7.8,0.322,0.0,0.329
6684,1982,Billy McKinney,PG,DEN,81,27,1963,14.4,0.565,3.4,-0.1,3.3,-2.1,0.528,0.0,0.541
6685,1982,Tom McMillen,C,ATL,73,23,1792,13.1,0.559,1.7,2.0,3.7,-0.5,0.509,0.333,0.51
6687,1982,Mike Mitchell,SF,TOT,84,83,3063,15.9,0.536,4.2,1.7,5.9,-1.5,0.51,0.0,0.512
6688,1982,Mike Mitchell,SF,CLE,27,26,973,14.2,0.484,0.2,0.2,0.5,-2.8,0.454,0.0,0.46
6689,1982,Mike Mitchell,SF,SAS,57,57,2090,16.7,0.563,4.0,1.5,5.5,-0.8,0.539,0.0,0.539
6690,1982,Steve Mix,SF,PHI,75,0,1235,15.8,0.57,2.3,1.4,3.7,0.3,0.506,0.25,0.509
6691,1982,Paul Mokeski,C,TOT,67,4,868,8.7,0.489,-0.2,1.0,0.8,-2.8,0.435,0.0,0.442
6692,1982,Paul Mokeski,C,DET,39,3,523,7.1,0.49,-0.3,0.6,0.3,-3.4,0.441,0.0,0.445
6693,1982,Paul Mokeski,C,CLE,28,1,345,11.1,0.488,0.1,0.4,0.5,-1.8,0.427,0.0,0.438
6694,1982,Sidney Moncrief,SG,MIL,80,80,2980,20.1,0.601,8.9,4.5,13.4,5.5,0.523,0.071,0.529
6695,1982,Johnny Moore,PG,SAS,79,78,2294,17.0,0.496,3.1,2.7,5.8,1.3,0.463,0.048,0.477
6696,1982,Lowes Moore,PG,CLE,4,0,70,21.5,0.542,0.2,0.1,0.2,2.0,0.5,0.2,0.545
6697,1982,Calvin Murphy*,PG,HOU,64,0,1204,13.2,0.47,0.7,0.6,1.3,-4.7,0.427,0.063,0.437
6698,1982,Larry Nance,PF,PHO,80,0,1186,14.7,0.543,0.3,2.1,2.4,-0.5,0.521,0.0,0.522
6699,1982,Swen Nater,C,SDC,21,7,575,16.4,0.625,0.9,0.2,1.2,-2.2,0.577,1.0,0.575
6700,1982,Calvin Natt,SF,POR,75,71,2599,19.0,0.622,7.0,2.3,9.3,2.4,0.576,0.25,0.579
6701,1982,Mike Newlin,SG,NYK,76,32,1507,11.5,0.519,1.1,0.4,1.5,-4.7,0.465,0.304,0.471
6702,1982,Carl Nicks,SG,UTA,80,1,1322,10.5,0.474,-0.8,0.5,-0.3,-4.9,0.454,0.0,0.458
