solo_competitive_rank,rank_tier,competitive_rank,mmr_estimate,leaderboard_rank,account_id,personaname,name,plus,cheese,steamid,avatar,avatarmedium,avatarfull,profileurl,last_login,loccountrycode,status,is_contributor,is_subscriber
,35.0,,{'estimate': 2503},,896868529,А КОГДА НЕ ДЕЛАЛИ?,,False,0,76561198857134257,https://avatars.steamstatic.com/a627d3c0e9fe310d6ce9538c3594376522acbb00.jpg,https://avatars.steamstatic.com/a627d3c0e9fe310d6ce9538c3594376522acbb00_medium.jpg,https://avatars.steamstatic.com/a627d3c0e9fe310d6ce9538c3594376522acbb00_full.jpg,https://steamcommunity.com/profiles/76561198857134257/,,RU,,False,False
4501.0,80.0,,{'estimate': 4809},2496.0,132294685,911,,False,0,76561198092560413,https://avatars.steamstatic.com/f8c3d4af9fd24eee24c48603d795b3ce4c0a53e2.jpg,https://avatars.steamstatic.com/f8c3d4af9fd24eee24c48603d795b3ce4c0a53e2_medium.jpg,https://avatars.steamstatic.com/f8c3d4af9fd24eee24c48603d795b3ce4c0a53e2_full.jpg,https://steamcommunity.com/profiles/76561198092560413/,,,,False,False
6582.0,80.0,5530.0,{'estimate': 5625},515.0,223719409,76561198183985137,,False,0,76561198183985137,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb.jpg,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_medium.jpg,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,https://steamcommunity.com/id/Czyme/,,CN,,False,False
,54.0,,{'estimate': 3387},,151531518,mika,,True,0,76561198111797246,https://avatars.steamstatic.com/754282020807fa94a4e9cc33d857ac93063f5dc5.jpg,https://avatars.steamstatic.com/754282020807fa94a4e9cc33d857ac93063f5dc5_medium.jpg,https://avatars.steamstatic.com/754282020807fa94a4e9cc33d857ac93063f5dc5_full.jpg,https://steamcommunity.com/profiles/76561198111797246/,,PT,,False,False
,,,{'estimate': 4306},,987246617,sdggdgdsd,,False,0,76561198947512345,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/7b/7bbede038c81d43dd964dcb144d7977cade9ca02.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/7b/7bbede038c81d43dd964dcb144d7977cade9ca02_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/7b/7bbede038c81d43dd964dcb144d7977cade9ca02_full.jpg,https://steamcommunity.com/id/sddgsg/,,JP,,False,False
,,,{'estimate': 1369},,1208954924,енршвеншлпар,,,0,76561199169220652,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb.jpg,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_medium.jpg,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,https://steamcommunity.com/profiles/76561199169220652/,,,,False,False
,,,{'estimate': 2125},,798770,Баштыр,,False,0,76561197961064498,https://avatars.steamstatic.com/f694af700a588441df36446f4337acf51bd0a946.jpg,https://avatars.steamstatic.com/f694af700a588441df36446f4337acf51bd0a946_medium.jpg,https://avatars.steamstatic.com/f694af700a588441df36446f4337acf51bd0a946_full.jpg,https://steamcommunity.com/id/sevman/,,RU,,False,False
5619.0,80.0,5386.0,{'estimate': 5179},765.0,86782037,有马.,,False,0,76561198047047765,https://avatars.steamstatic.com/176dd5fc1dc3fbbeadd7a4355bbd3ee9bb24feb7.jpg,https://avatars.steamstatic.com/176dd5fc1dc3fbbeadd7a4355bbd3ee9bb24feb7_medium.jpg,https://avatars.steamstatic.com/176dd5fc1dc3fbbeadd7a4355bbd3ee9bb24feb7_full.jpg,https://steamcommunity.com/profiles/76561198047047765/,2016-02-11T08:25:58.580Z,,,False,False
2954.0,80.0,,{'estimate': 4444},4718.0,77053789,-KnowLedgE,,True,0,76561198037319517,https://avatars.steamstatic.com/48772bcb492f858327eb0cb89e36eb79c66b8061.jpg,https://avatars.steamstatic.com/48772bcb492f858327eb0cb89e36eb79c66b8061_medium.jpg,https://avatars.steamstatic.com/48772bcb492f858327eb0cb89e36eb79c66b8061_full.jpg,https://steamcommunity.com/profiles/76561198037319517/,2019-12-24T17:31:28.382Z,BG,,False,False
,80.0,,{'estimate': 3900},3243.0,1027391389,MeepoMeepo,,False,0,76561198987657117,https://avatars.steamstatic.com/f614b4129211776dd9d2b68607ec7bf3aa5146a4.jpg,https://avatars.steamstatic.com/f614b4129211776dd9d2b68607ec7bf3aa5146a4_medium.jpg,https://avatars.steamstatic.com/f614b4129211776dd9d2b68607ec7bf3aa5146a4_full.jpg,https://steamcommunity.com/profiles/76561198987657117/,,,,False,False
,,,{'estimate': 3156},,69451786,Friends Can Break Your Heart Too,,False,0,76561198029717514,https://avatars.steamstatic.com/22b8f30ee833b499d1b666df18aa73c85187db86.jpg,https://avatars.steamstatic.com/22b8f30ee833b499d1b666df18aa73c85187db86_medium.jpg,https://avatars.steamstatic.com/22b8f30ee833b499d1b666df18aa73c85187db86_full.jpg,https://steamcommunity.com/id/RyanT13/,,CA,,False,False
