Player,careers,Pos,Tm,G,PER,GS,MP,TS,OWS,DWS,WS,BPM,FG,P2,P3,year_start,year_end,height,weight,birth_date,year_active,age_start,age_end,churn
Derrick Brown,5,SF,CHA,220,13.7,19,3130,0.6,0.7,0.4,1.1,-1.2,0.6,0.6,0.4,2010,2012,6-7,225,1987,3,23,25,1
Derrick Byars,1,PF,SAS,2,14.9,0,37,0.4,0.1,0.1,0.1,0.6,0.3,0.6,0.0,2012,2012,6-7,220,1984,1,28,28,1
Derrick Chievous,4,SF,CLE,191,12.6,1,2721,0.5,0.2,0.8,1.0,-4.2,0.4,0.5,0.2,1989,1991,6-7,195,1967,3,22,24,1
Derrick Coleman,15,C,DET,781,15.9,672,25903,0.5,1.9,2.4,4.3,-0.8,0.4,0.4,0.3,1991,2005,6-10,230,1967,15,24,38,0
Derrick Dial,6,SG,ORL,114,12.9,0,986,0.4,-0.1,0.2,0.1,-3.7,0.4,0.4,0.2,2000,2004,6-4,184,1975,5,25,29,1
Derrick Favors,5,PF,UTA,336,19.1,253,9437,0.5,2.7,2.8,5.5,1.4,0.5,0.5,0.1,2011,2018,6-10,265,1991,8,20,27,0
Derrick Gervin,2,PF,NJN,77,18.1,4,1082,0.5,0.6,0.5,1.0,-3.6,0.4,0.5,0.1,1990,1991,6-8,200,1963,2,27,28,1
Derrick Jones,1,SF,PHO,32,12.0,8,545,0.6,0.9,0.2,1.1,-1.1,0.6,0.6,0.3,2017,2018,6-7,190,1997,2,20,21,0
Derrick McKey,15,SF,PHI,937,13.0,639,27229,0.5,2.1,2.0,4.1,1.7,0.5,0.5,0.3,1988,2002,6-9,205,1966,15,22,36,0
Derrick Rose,8,PG,NYK,470,17.2,469,16292,0.5,2.5,1.8,4.3,-0.1,0.4,0.5,0.3,2009,2018,6-3,190,1988,10,21,30,0
Derrick Williams,10,PF,CLE,554,12.0,138,11479,0.5,0.9,0.9,1.8,-3.8,0.4,0.5,0.3,2012,2017,6-8,240,1991,6,21,26,0
Desmon Farmer,2,SG,SAS,11,7.9,0,86,0.4,-0.0,0.0,-0.0,-7.4,0.3,0.5,0.2,2007,2009,6-5,220,1981,3,26,28,1
Desmond Ferguson,1,SF,POR,7,11.3,0,32,0.5,0.0,0.0,0.0,-7.1,0.4,0.5,0.4,2004,2004,6-7,203,1977,1,27,27,1
Desmond Mason,9,SG,OKC,584,13.0,290,18061,0.5,1.8,1.1,2.9,-2.2,0.4,0.5,0.2,2001,2010,6-7,224,1977,10,24,33,0
Detlef Schrempf,18,SF,POR,1205,16.2,537,35447,0.6,4.4,1.9,6.3,1.3,0.5,0.5,0.3,1986,2001,6-9,214,1963,16,23,38,0
Devean George,11,SF,GSW,630,10.1,108,11682,0.5,0.4,1.2,1.7,-2.0,0.4,0.4,0.3,2000,2010,6-8,220,1977,11,23,33,0
Devin Booker,2,SG,PHO,154,13.2,129,4838,0.5,1.3,0.6,2.0,-2.7,0.4,0.5,0.4,2016,2018,6-6,206,1996,3,20,22,1
Devin Brown,11,SG,CHI,518,9.7,166,10153,0.5,0.3,0.9,1.2,-3.5,0.4,0.4,0.3,2003,2010,6-5,220,1978,8,25,32,0
Devin Durrant,1,SF,IND,59,8.8,8,756,0.5,-0.7,0.6,-0.1,-5.2,0.4,0.4,0.0,1985,1986,6-7,200,1960,2,25,26,1
Devin Ebanks,3,SF,LAL,63,11.3,15,711,0.5,0.0,0.2,0.2,-5.1,0.4,0.4,0.2,2011,2013,6-9,215,1989,3,22,24,1
Devin Green,1,SG,LAL,27,4.7,0,135,0.3,-0.2,0.1,-0.1,-7.7,0.2,0.2,0.0,2006,2006,6-7,210,1982,1,24,24,1
Devin Harris,17,PG,DAL,981,16.2,576,25828,0.6,2.3,1.2,3.6,0.2,0.4,0.5,0.3,2005,2018,6-3,192,1983,14,22,35,0
Devyn Marble,2,SG,ORL,44,5.6,7,457,0.4,-0.4,0.2,-0.1,-5.0,0.3,0.4,0.2,2015,2016,6-6,200,1992,2,23,24,1
Dewayne Dedmon,1,C,ORL,59,13.3,15,845,0.6,0.7,1.0,1.7,-3.3,0.6,0.6,0.0,2014,2018,7-0,245,1989,5,25,29,0
Dexter Boney,1,SG,PHO,8,10.2,0,48,0.4,0.0,0.0,0.0,-9.7,0.3,0.4,0.2,1997,1997,6-4,185,1970,1,27,27,1
Dexter Cambridge,1,SF,DAL,53,12.1,13,885,0.5,0.4,0.0,0.4,-3.3,0.5,0.5,0.0,1993,1993,6-7,224,1970,1,23,23,1
Dexter Shouse,1,PG,PHI,3,-6.8,0,18,0.0,-0.1,0.0,-0.1,-15.0,0.0,0.0,0.0,1990,1990,6-2,200,1963,1,27,27,1
Diante Garrett,2,PG,UTA,90,8.0,0,1197,0.4,-0.7,0.2,-0.5,-5.7,0.4,0.4,0.3,2013,2014,6-4,190,1988,2,25,26,1
Dickey Simpkins,7,PF,CHI,307,9.6,95,5045,0.5,-0.1,0.7,0.7,-3.6,0.5,0.5,0.2,1995,2002,6-9,248,1972,8,23,30,0
Didier Ilunga-Mbenga,2,C,LAL,66,13.6,1,418,0.5,-0.0,0.4,0.4,-0.5,0.5,0.5,0.0,2005,2011,7-0,245,1980,7,25,31,1
Dijon Thompson,2,SF,ATL,16,16.8,0,93,0.5,0.1,0.0,0.1,-4.0,0.4,0.5,0.2,2006,2007,6-7,195,1983,2,23,24,1
Dino Radja,3,C,BOS,171,16.2,120,5324,0.5,1.6,1.8,3.4,-1.3,0.5,0.5,0.0,1994,1997,6-11,225,1967,4,27,30,1
Dion Glover,8,SG,SAS,363,12.5,135,7775,0.5,0.2,0.7,0.9,-2.6,0.4,0.4,0.3,2000,2005,6-5,228,1978,6,22,27,1
Dion Waiters,7,SG,MIA,415,12.1,176,11780,0.5,-0.0,1.2,1.2,-2.7,0.4,0.4,0.3,2013,2018,6-4,225,1991,6,22,27,0
Dionte Christmas,1,SF,PHO,31,11.1,0,198,0.5,0.2,0.1,0.3,-3.6,0.4,0.4,0.3,2014,2014,6-5,205,1986,1,28,28,1
Dirk Minniefield,7,PG,BOS,368,10.1,118,6471,0.5,0.0,0.9,0.9,-3.6,0.5,0.5,0.2,1986,1988,6-3,180,1961,3,25,27,1
Dirk Nowitzki,19,PF,DAL,1394,22.2,1363,48673,0.6,7.5,3.1,10.6,2.9,0.5,0.5,0.4,1999,2018,7-0,245,1978,20,21,40,0
Doc Rivers,15,PG,SAS,927,15.6,605,24556,0.5,2.4,2.3,4.7,2.5,0.4,0.4,0.3,1984,1996,6-4,185,1961,13,23,35,0
Domantas Sabonis,1,PF,OKC,81,6.9,66,1632,0.5,-1.0,1.8,0.7,-4.9,0.4,0.4,0.3,2017,2018,6-11,240,1996,2,21,22,0
Dominic McGuire,4,PF,GSW,265,9.9,72,4654,0.5,0.2,0.9,1.0,-1.6,0.4,0.4,0.2,2008,2013,6-9,220,1985,6,23,28,0
Dominic Pressley,2,PG,CHI,16,3.2,0,141,0.2,-0.2,0.0,-0.1,-10.8,0.2,0.3,0.0,1989,1989,6-2,170,1964,1,25,25,1
Dominique Jones,3,PG,DAL,80,11.6,4,741,0.4,-0.2,0.3,0.1,-3.5,0.4,0.4,0.1,2011,2013,6-4,215,1988,3,23,25,1
Don Buse,4,PG,KCK,264,13.1,103,5438,0.5,1.6,1.4,3.1,-0.5,0.4,0.5,0.3,1973,1985,6-4,190,1950,13,23,35,0
Don Collins,3,SG,GSW,205,14.3,45,4141,0.5,0.7,1.9,2.6,0.1,0.5,0.5,0.1,1981,1987,6-6,190,1958,7,23,29,0
Don Ford,1,SF,CLE,21,3.7,1,201,0.4,-0.2,0.1,-0.1,-4.4,0.4,0.4,0.0,1976,1982,6-9,215,1952,7,24,30,0
Don MacLean,9,SF,MIA,319,11.3,111,6679,0.5,0.8,0.3,1.0,-5.7,0.4,0.4,0.4,1993,2001,6-10,235,1970,9,23,31,0
Don Reid,1,PF,DET,47,11.1,14,462,0.5,0.3,0.8,1.0,-1.9,0.5,0.5,0.0,1996,2003,6-8,250,1973,8,23,30,0
Donald Hodge,1,C,DAL,54,8.5,0,633,0.5,-0.1,0.4,0.3,-5.2,0.4,0.4,0.3,1992,1996,7-0,230,1969,5,23,27,1
Donald Royal,7,SF,GSW,449,12.6,80,7910,0.6,1.6,0.9,2.5,-2.3,0.5,0.5,0.0,1990,1998,6-8,210,1966,9,24,32,0
Donald Sloan,9,PG,BRK,271,10.3,77,4675,0.4,0.2,0.2,0.4,-4.7,0.4,0.4,0.2,2012,2016,6-3,205,1988,5,24,28,0
Donald Whiteside,2,PG,ATL,30,4.1,1,275,0.4,0.0,0.0,0.0,-8.2,0.4,0.7,0.2,1997,1998,5-10,160,1969,2,28,29,1
Donatas Motiejunas,5,PF,NOP,248,11.6,101,4553,0.5,0.5,0.9,1.5,-2.7,0.5,0.5,0.3,2013,2017,7-0,222,1990,5,23,27,0
Donell Taylor,2,SG,WAS,98,10.2,2,834,0.4,-0.4,0.4,0.0,-4.2,0.4,0.4,0.2,2006,2007,6-6,180,1982,2,24,25,1
Donnell Harvey,3,PF,ORL,161,10.8,36,2741,0.5,-0.1,1.0,0.9,-4.4,0.4,0.4,0.0,2001,2005,6-8,220,1980,5,21,25,1
Donnie Boyce,2,SG,ATL,30,12.4,2,195,0.4,-0.3,0.2,-0.2,-4.2,0.4,0.4,0.3,1996,1997,6-5,196,1973,2,23,24,1
Donny Marshall,5,SF,NJN,119,1.4,0,919,0.3,-0.1,0.2,0.2,-13.2,0.2,0.3,0.2,1996,2003,6-7,230,1972,8,24,31,0
Donta Smith,2,SG,ATL,61,11.6,0,560,0.5,0.1,0.2,0.2,-2.7,0.5,0.5,0.4,2005,2006,6-7,215,1983,2,22,23,1
Dontae' Jones,1,SF,BOS,15,3.8,0,91,0.4,-0.4,0.0,-0.3,-11.8,0.3,0.4,0.3,1998,1998,6-8,220,1975,1,23,23,1
Donte Greene,4,PF,SAC,253,9.6,82,4259,0.5,-0.2,0.6,0.4,-4.3,0.4,0.5,0.3,2009,2012,6-11,226,1988,4,21,24,1
Dontell Jefferson,1,SG,CHA,6,12.7,0,84,0.6,0.0,0.1,0.2,-2.0,0.5,0.5,0.5,2009,2009,6-5,195,1983,1,26,26,1
Dontonio Wingfield,3,SF,POR,111,12.3,2,1137,0.5,0.0,0.6,0.6,-3.1,0.4,0.4,0.3,1995,1998,6-8,256,1974,4,21,24,1
Donyell Marshall,21,PF,PHI,1137,15.3,528,30441,0.5,1.5,1.9,3.3,0.0,0.4,0.5,0.3,1995,2009,6-9,218,1973,15,22,36,0
Dorell Wright,10,SF,POR,543,13.1,222,12207,0.5,1.4,1.2,2.6,-0.9,0.4,0.5,0.3,2005,2015,6-9,205,1985,11,20,30,0
Dorian Finney-Smith,1,PF,DAL,81,7.7,35,1642,0.5,-0.1,1.5,1.4,-1.5,0.4,0.5,0.3,2017,2018,6-8,220,1993,2,24,25,0
Doron Lamb,4,SG,ORL,147,5.4,0,1849,0.5,-0.2,0.2,-0.1,-6.8,0.4,0.4,0.4,2013,2014,6-4,210,1991,2,22,23,1
Doug Christie,19,SG,LAC,934,11.9,769,28640,0.5,1.4,1.7,3.1,-0.3,0.4,0.4,0.3,1993,2007,6-6,200,1970,15,23,37,0
Doug Edwards,3,PF,VAN,85,9.0,0,838,0.5,-0.2,0.3,0.1,-5.3,0.4,0.4,0.0,1994,1996,6-7,220,1971,3,23,25,1
Doug Lee,3,SG,SAC,73,9.4,0,415,0.5,0.1,0.1,0.3,-3.3,0.4,0.3,0.3,1992,1995,6-5,200,1964,4,28,31,1
Doug McDermott,5,SF,OKC,249,9.7,14,5198,0.5,1.0,0.6,1.6,-4.5,0.4,0.5,0.4,2015,2018,6-8,225,1992,4,23,26,1
Doug Overton,17,PG,LAC,597,9.2,84,8990,0.5,-0.0,0.1,0.1,-6.3,0.4,0.4,0.2,1993,2004,6-3,190,1969,12,24,35,0
Doug Roth,1,C,WSB,42,8.2,0,412,0.4,0.0,0.4,0.4,-3.7,0.4,0.4,0.0,1990,1990,6-11,255,1967,1,23,23,1
Doug Smith,4,PF,DAL,279,11.7,116,5741,0.5,-0.4,1.2,0.8,-3.0,0.4,0.4,0.1,1992,1996,6-10,220,1969,5,23,27,1
Doug West,12,SG,VAN,676,10.0,379,16649,0.5,1.0,0.4,1.5,-3.5,0.4,0.5,0.1,1990,2001,6-6,200,1967,12,23,34,0
Dragan Bender,1,PF,PHO,43,5.3,0,574,0.4,-0.7,0.3,-0.3,-4.3,0.4,0.5,0.3,2017,2018,7-1,225,1997,2,20,21,0
Draymond Green,5,PF,GSW,397,14.4,249,10627,0.5,2.4,4.2,6.6,3.2,0.4,0.5,0.3,2013,2018,6-7,230,1990,6,23,28,0
Drew Barry,5,PG,ATL,76,9.6,0,757,0.6,0.1,0.1,0.1,-6.0,0.4,0.5,0.4,1998,2000,6-5,191,1973,3,25,27,1
Drew Gooden,22,PF,WAS,1049,15.5,673,27115,0.5,1.1,1.5,2.5,-2.5,0.5,0.5,0.2,2003,2016,6-10,250,1981,14,22,35,0
Drew Gordon,1,PF,PHI,9,3.7,0,71,0.4,-0.2,0.1,-0.1,-11.3,0.4,0.5,0.0,2015,2015,6-9,245,1990,1,25,25,1
Duane Causwell,5,C,SAC,312,11.4,180,5947,0.5,0.7,1.4,2.1,-0.9,0.5,0.5,0.1,1991,2001,7-0,240,1968,11,23,33,0
Duane Cooper,2,PG,PHO,88,7.8,2,781,0.5,-0.4,0.2,-0.2,-9.0,0.4,0.5,0.2,1993,1994,6-1,185,1969,2,24,25,1
Duane Ferrell,9,SF,GSW,534,11.7,72,8457,0.5,1.0,0.7,1.7,-2.6,0.5,0.5,0.2,1989,1999,6-7,209,1965,11,24,34,0
Duane Washington,1,SG,NJN,15,16.1,0,156,0.5,0.3,0.2,0.4,0.3,0.4,0.4,0.5,1988,1993,6-4,195,1964,6,24,29,1
Dudley Bradley,8,SG,ATL,499,10.6,77,7730,0.5,-0.0,1.5,1.4,-0.1,0.4,0.4,0.3,1980,1989,6-6,195,1957,10,23,32,0
Duje Dukan,1,SF,SAC,1,4.2,0,24,0.3,0.0,0.0,0.0,-6.7,0.2,0.0,0.4,2016,2016,6-9,220,1991,1,25,25,1
Dwayne Jones,1,PF,CLE,56,11.1,0,472,0.5,0.5,0.7,1.2,-1.2,0.5,0.5,0.0,2006,2010,6-11,250,1983,5,23,27,1
Dwayne McClain,1,SF,IND,45,8.3,4,461,0.4,-0.9,0.6,-0.3,-4.8,0.4,0.4,0.1,1986,1986,6-6,185,1963,1,23,23,1
Dwayne Morton,1,PG,GSW,41,11.0,6,395,0.5,0.0,0.2,0.2,-5.1,0.4,0.4,0.4,1995,1995,6-7,195,1971,1,24,24,1
Dwayne Polee,1,SG,LAC,1,-11.4,0,6,0.2,-0.1,0.0,0.0,-14.0,0.2,1.0,0.0,1987,1987,6-5,180,1963,1,24,24,1
Dwayne Schintzius,3,C,LAC,90,9.6,7,914,0.4,-0.2,0.4,0.2,-5.1,0.4,0.4,0.2,1991,1999,7-1,260,1968,9,23,31,0
Dwight Buycks,2,PG,LAL,20,10.2,0,269,0.5,-0.1,0.1,0.0,-4.7,0.4,0.4,0.5,2014,2015,6-3,190,1989,2,25,26,1
Dwight Howard,13,C,ATL,954,21.5,953,33291,0.6,4.3,5.0,9.4,2.4,0.6,0.6,0.1,2005,2018,6-11,265,1985,14,20,33,0
Dwight Jones,3,PF,LAL,191,10.5,20,3695,0.5,0.5,1.2,1.6,-3.0,0.5,0.5,0.3,1974,1983,6-10,210,1952,10,22,31,0
Dwight Powell,4,C,DAL,199,15.3,5,2788,0.6,1.3,0.9,2.2,-0.2,0.5,0.5,0.2,2015,2018,6-11,240,1991,4,24,27,1
Dwyane Wade,14,SG,CHI,915,23.9,904,32352,0.6,5.2,3.1,8.4,4.7,0.5,0.5,0.3,2004,2018,6-4,220,1982,15,22,36,0
E'Twaun Moore,6,SG,NOP,380,10.7,68,7106,0.5,0.4,0.9,1.2,-2.4,0.4,0.5,0.4,2012,2018,6-4,191,1989,7,23,29,0
Earl Barron,3,C,PHO,90,7.0,16,1235,0.4,-0.5,0.3,-0.2,-8.0,0.3,0.3,0.2,2006,2015,7-0,250,1981,10,25,34,0
Earl Boykins,18,PG,HOU,765,14.4,57,15469,0.5,1.4,0.3,1.7,-3.3,0.4,0.4,0.3,1999,2012,5-5,135,1976,14,23,36,0
Earl Clark,8,PF,BRK,303,9.9,70,4231,0.5,-0.2,0.6,0.4,-4.9,0.4,0.4,0.2,2010,2015,6-10,225,1988,6,22,27,0
Earl Cureton,10,PF,CHH,616,9.9,175,12802,0.5,0.3,1.2,1.5,-2.1,0.5,0.5,0.0,1981,1997,6-9,210,1957,17,24,40,0
Earl Watson,15,PG,POR,948,11.7,237,21072,0.5,0.4,1.0,1.5,-1.8,0.4,0.4,0.3,2002,2014,6-1,195,1979,13,23,35,0
Ed Davis,1,PF,TOR,66,14.2,9,1534,0.5,1.6,2.3,3.9,0.9,0.5,0.5,0.0,2011,2018,6-10,240,1989,8,22,29,0
Ed Gray,2,SG,ATL,60,8.9,6,809,0.4,-0.4,0.4,0.1,-6.8,0.3,0.3,0.3,1998,1999,6-3,210,1975,2,23,24,1
Ed Horton,1,PF,WSB,45,14.5,10,374,0.5,0.1,0.3,0.4,-4.1,0.5,0.5,0.0,1990,1990,6-8,230,1967,1,23,23,1
Ed Nealy,10,PF,CHI,436,9.4,20,4436,0.5,0.4,0.5,0.9,-2.0,0.4,0.5,0.2,1983,1993,6-7,238,1960,11,23,33,0
Ed O'Bannon,4,SF,DAL,192,8.3,39,2871,0.4,-0.2,0.6,0.4,-5.2,0.3,0.4,0.2,1996,1997,6-8,222,1972,2,24,25,1
Ed Pinckney,10,PF,TOR,719,15.2,326,15280,0.6,2.6,1.6,4.2,0.7,0.5,0.5,0.0,1986,1997,6-9,195,1963,12,23,34,0
Ed Rains,2,SF,SAS,83,8.2,16,929,0.5,0.1,0.2,0.4,-3.5,0.4,0.4,0.0,1982,1983,6-7,190,1956,2,26,27,1
Ed Sherod,1,PG,NYK,64,11.4,37,1624,0.4,-0.2,2.7,2.5,-0.3,0.4,0.4,0.1,1983,1983,6-2,170,1959,1,24,24,1
Eddie Basden,1,SF,CHI,19,10.3,0,141,0.5,-0.1,0.3,0.2,-1.4,0.4,0.5,0.1,2006,2006,6-5,215,1983,1,23,23,1
Eddie Gill,9,PG,MIL,201,7.8,10,2187,0.5,-0.0,0.3,0.2,-6.2,0.4,0.4,0.3,2001,2009,6-0,190,1978,9,23,31,0
Eddie Griffin,5,PF,MIN,303,12.5,117,6729,0.4,0.3,1.9,2.2,-2.5,0.4,0.4,0.2,2002,2007,6-10,220,1982,6,20,25,1
Eddie House,16,SG,MIA,853,13.1,38,14513,0.5,0.5,1.0,1.4,-2.0,0.4,0.4,0.4,2001,2011,6-1,180,1978,11,23,33,0
Eddie Hughes,3,PG,DEN,97,9.5,8,1158,0.5,0.1,0.4,0.5,-3.1,0.4,0.5,0.3,1988,1990,5-10,165,1960,3,28,30,1
Eddie Johnson,29,SF,HOU,1767,15.0,749,47451,0.5,2.1,1.0,3.1,-2.1,0.5,0.5,0.3,1978,1987,6-2,180,1955,10,23,32,0
Eddie Jones,18,SG,DAL,1068,15.9,993,36253,0.5,3.5,2.6,6.1,3.0,0.4,0.5,0.4,1995,2008,6-6,190,1971,14,24,37,0
Eddie Jordan,4,PG,POR,122,8.1,0,1334,0.4,-0.6,0.5,-0.1,-4.5,0.3,0.4,0.1,1978,1984,6-1,170,1955,7,23,29,0
Eddie Phillips,1,SF,NJN,48,7.5,0,416,0.5,-0.6,0.7,0.1,-5.3,0.4,0.4,0.0,1983,1983,6-7,225,1961,1,22,22,1
Eddie Robinson,5,SF,CHI,278,13.9,48,5345,0.5,1.0,1.0,2.0,-1.9,0.5,0.5,0.3,2000,2004,6-8,210,1976,5,24,28,1
Eddy Curry,2,C,NYK,154,15.9,144,5003,0.6,2.1,1.7,3.8,-3.1,0.5,0.5,1.0,2002,2013,7-0,295,1982,12,20,31,0
Edgar Jones,9,PF,CLE,424,13.9,124,8437,0.6,0.8,1.1,1.9,-1.3,0.5,0.5,0.2,1981,1986,6-10,225,1956,6,25,30,1
Eduardo Najera,16,PF,CHA,733,10.8,94,13083,0.5,0.8,0.9,1.7,-0.8,0.5,0.5,0.2,2001,2012,6-8,240,1976,12,25,36,0
Edwin Ubiles,1,SF,WAS,4,7.3,0,52,0.4,-0.1,0.0,0.0,-8.8,0.3,0.3,0.2,2012,2012,6-6,204,1986,1,26,26,1
Efthimi Rentzias,1,C,PHI,35,10.6,0,144,0.4,0.0,0.2,0.2,-4.7,0.3,0.3,0.5,2003,2003,6-11,250,1976,1,27,27,1
Ekpe Udoh,3,C,MIL,160,12.9,25,3065,0.5,0.8,1.1,2.0,0.4,0.4,0.4,0.0,2011,2018,6-10,240,1987,8,24,31,0
Elden Campbell,16,C,DET,1030,15.1,678,26663,0.5,1.7,2.4,4.1,-1.1,0.4,0.4,0.0,1991,2005,6-11,215,1968,15,23,37,0
Eldridge Recasner,9,PG,LAC,301,10.4,47,5152,0.5,0.6,0.4,1.0,-5.0,0.4,0.4,0.2,1995,2002,6-3,190,1967,8,28,35,0
Elfrid Payton,3,PG,ORL,237,15.0,190,7046,0.5,1.0,2.0,3.0,-0.4,0.4,0.5,0.3,2015,2018,6-4,185,1994,4,21,24,1
Elijah Millsap,3,SG,PHO,69,3.7,5,1120,0.3,-0.4,0.6,0.1,-5.9,0.3,0.3,0.1,2015,2017,6-6,225,1987,3,28,30,1
Elliot Perry,15,PG,PHO,681,12.6,139,10679,0.5,0.3,0.6,1.0,-3.2,0.4,0.4,0.3,1992,2002,6-0,150,1969,11,23,33,0
Elliot Williams,6,PG,MEM,122,9.9,2,1589,0.5,0.0,0.1,0.1,-4.8,0.4,0.4,0.4,2012,2016,6-5,190,1989,5,23,27,0
Elmer Bennett,4,PG,DEN,22,17.3,0,168,0.5,-0.1,0.0,-0.0,0.4,0.4,0.4,0.2,1995,1997,6-0,170,1970,3,25,27,1
Elmore Spencer,2,C,LAC,95,9.2,71,2298,0.5,-1.0,1.0,-0.0,-4.8,0.5,0.5,0.0,1993,1997,7-0,270,1969,5,24,28,1
Elston Turner,7,SF,DEN,488,9.6,97,8908,0.5,0.1,1.1,1.2,-1.8,0.4,0.4,0.2,1982,1989,6-5,190,1959,8,23,30,0
Elton Brand,14,C,PHI,941,18.6,759,30696,0.5,4.0,2.8,6.8,2.1,0.5,0.5,0.1,2000,2016,6-8,275,1979,17,21,37,0
Emanual Davis,6,SG,ATL,226,9.2,62,3934,0.5,-0.0,0.4,0.4,-3.0,0.4,0.4,0.3,1997,2003,6-4,195,1968,7,29,35,1
Emeka Okafor,2,C,NOH,145,16.2,145,4887,0.5,1.8,3.4,5.2,-0.6,0.5,0.5,0.0,2005,2013,6-10,252,1982,9,23,31,0
Emmanuel Mudiay,2,PG,DEN,123,10.4,107,3474,0.5,-1.8,0.8,-1.0,-4.0,0.4,0.4,0.3,2016,2018,6-5,200,1996,3,20,22,1
Enes Kanter,8,C,OKC,520,19.8,188,11614,0.6,2.8,1.4,4.1,-2.3,0.5,0.5,0.4,2012,2018,6-11,245,1992,7,20,26,0
Ennis Whatley,6,PG,ATL,355,13.0,192,6865,0.5,0.4,1.2,1.6,-2.2,0.5,0.5,0.1,1984,1997,6-3,177,1962,14,22,35,0
Eric Anderson,1,PF,NYK,11,15.2,0,39,0.5,0.0,0.1,0.1,-4.6,0.4,0.3,1.0,1993,1994,6-9,220,1970,2,23,24,1
Eric Bledsoe,7,PG,PHO,418,16.9,256,11309,0.5,1.7,1.7,3.3,1.6,0.4,0.5,0.3,2011,2018,6-1,205,1989,8,22,29,0
Eric Gordon,9,SG,HOU,492,15.1,413,16471,0.6,2.2,0.7,2.9,-0.6,0.4,0.5,0.4,2009,2018,6-4,215,1988,10,21,30,0
Eric Johnson,1,PG,UTA,48,4.6,2,272,0.3,-0.8,0.4,-0.4,-6.2,0.2,0.2,0.2,1990,1990,6-2,205,1966,1,24,24,1
Eric Leckner,3,C,DET,187,10.7,49,2502,0.6,0.3,0.6,0.9,-4.9,0.5,0.5,0.0,1989,1997,6-11,265,1966,9,23,31,0
Eric Maynor,11,PG,PHI,443,9.3,4,6455,0.5,0.0,0.4,0.5,-5.7,0.4,0.4,0.3,2010,2014,6-3,175,1987,5,23,27,0
Eric Mobley,3,C,VAN,119,11.2,31,1874,0.6,0.0,0.6,0.6,-3.4,0.6,0.6,0.7,1995,1997,6-11,235,1970,3,25,27,1
Eric Montross,3,C,TOR,173,9.0,101,3547,0.5,0.7,1.2,1.9,-2.8,0.5,0.5,0.0,1995,2002,7-0,270,1971,8,24,31,0
Eric Murdock,11,PG,LAC,581,15.7,238,13555,0.5,1.3,1.3,2.6,-0.4,0.4,0.4,0.3,1992,2000,6-1,190,1968,9,24,32,0
Eric Piatkowski,14,SF,PHO,789,12.6,250,14613,0.6,1.8,0.4,2.2,-1.3,0.4,0.4,0.4,1995,2008,6-7,215,1970,14,25,38,0
Eric Riley,4,C,DAL,151,12.8,30,1507,0.5,-0.0,0.5,0.4,-3.5,0.5,0.5,0.0,1994,1999,7-0,245,1970,6,24,29,1
Eric Snow,15,PG,CLE,910,10.8,551,24050,0.5,1.2,1.7,3.0,-2.9,0.4,0.4,0.2,1996,2008,6-3,190,1973,13,23,35,0
Eric Washington,2,SG,DEN,104,9.6,42,2300,0.5,0.2,-0.2,0.0,-3.2,0.4,0.4,0.4,1998,1999,6-4,190,1974,2,24,25,1
Eric White,1,SF,LAC,17,15.2,4,352,0.6,0.6,0.2,0.8,-3.0,0.5,0.5,1.0,1988,1989,6-8,200,1965,2,23,24,1
Eric Williams,17,SF,CHA,801,11.0,379,18915,0.5,0.9,0.8,1.7,-3.2,0.4,0.4,0.3,1996,2007,6-8,220,1972,12,24,35,0
Erick Barkley,2,PG,POR,27,10.0,4,266,0.4,-0.1,0.2,0.0,-5.2,0.4,0.4,0.3,2001,2002,6-1,177,1978,2,23,24,1
Erick Dampier,8,C,MIA,518,13.8,410,12831,0.5,1.5,1.9,3.4,-0.6,0.5,0.5,0.2,1997,2012,6-11,265,1975,16,22,37,0
Erick Green,3,PG,UTA,58,12.0,1,487,0.5,0.0,0.0,0.1,-2.7,0.4,0.5,0.2,2015,2016,6-4,185,1991,2,24,25,1
Erick Strickland,11,SG,MIL,551,12.3,122,11019,0.5,0.4,0.9,1.3,-1.4,0.4,0.4,0.3,1997,2005,6-3,210,1973,9,24,32,0
Erik Daniels,1,SF,SAC,21,4.6,0,72,0.4,-0.1,0.1,-0.1,-7.9,0.3,0.3,0.5,2005,2005,6-8,214,1982,1,23,23,1
Erik Murphy,1,C,CHI,24,0.2,0,62,0.2,-0.2,0.1,-0.1,-8.1,0.2,0.3,0.0,2014,2014,6-10,230,1990,1,24,24,1
Ernie Grunfeld,5,SF,NYK,379,12.0,17,6896,0.5,1.1,1.5,2.6,-1.1,0.5,0.5,0.2,1978,1986,6-6,210,1955,9,23,31,0
Ersan Ilyasova,14,PF,ATL,765,14.6,473,18886,0.5,1.7,1.6,3.3,-0.8,0.4,0.5,0.4,2007,2018,6-10,235,1987,12,20,31,0
Ervin Johnson,7,C,MIN,500,10.7,325,10189,0.5,0.8,2.2,3.0,-0.9,0.5,0.5,0.2,1994,2006,6-11,245,1967,13,27,39,0
Esteban Batista,1,PF,ATL,57,7.1,3,495,0.5,-0.2,0.3,0.1,-6.6,0.4,0.4,0.0,2006,2007,6-10,270,1983,2,23,24,1
Eugene Jeter,1,PG,SAC,62,11.1,1,858,0.5,0.2,0.5,0.7,-5.4,0.4,0.4,0.2,2011,2011,5-11,175,1983,1,28,28,1
